method,dataset,budget,Top1_RMSE,Top2_RMSE,Top1_RMedSE,Top2_RMedSE,Top1_failures_mean,Top2_failures_mean,Top1_TRMSE-nf,Top2_TRMSE-nf,Top1_TRMedSE-nf,Top2_TRMedSE-nf
DeepEST,imdb300AuxDS,50,LSA,DSA,LSA,DSA,Similarity_Score,DSA,LSA,DSA,DSA,LSA
DeepEST,imdbAuxDS,50,LSA,DSA,LSA,DSA,Similarity_Score,DSA,LSA,DSA,DSA,LSA
DeepEST,SSTtestAuxDS,50,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,LSA,DSA,LSA
GBS,imdb300AuxDS,50,Confidence_Score,DSA,DSA,Confidence_Score,LSA,Confidence_Score,Confidence_Score,DSA,DSA,Confidence_Score
GBS,imdbAuxDS,50,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score,DSA,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score
GBS,SSTtestAuxDS,50,Prediction_Entropy,DSA,DSA,Confidence_Score,LSA,Prediction_Entropy,Prediction_Entropy,DSA,DSA,Prediction_Entropy
RHC-S,imdb300AuxDS,50,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,DSA,Confidence_Score,Confidence_Score,DSA
RHC-S,imdbAuxDS,50,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
RHC-S,SSTtestAuxDS,50,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
SSRS,imdb300AuxDS,50,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,imdbAuxDS,50,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,50,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,50,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,LSA,DSA,DSA,LSA
SUPS,imdbAuxDS,50,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,LSA,Prediction_Entropy,LSA,Prediction_Entropy
SUPS,SSTtestAuxDS,50,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,LSA,Prediction_Entropy,DSA,Prediction_Entropy
SRS,imdb300AuxDS,50,DSA,Prediction_Entropy,LSA,Prediction_Entropy,Confidence_Score,Prediction_Entropy,DSA,Prediction_Entropy,Prediction_Entropy,LSA
SRS,imdbAuxDS,50,Confidence_Score,Prediction_Entropy,Confidence_Score,DSA,Similarity_Score,DSA,Confidence_Score,Prediction_Entropy,Confidence_Score,Similarity_Score
SRS,SSTtestAuxDS,50,LSA,DSA,Prediction_Entropy,DSA,LSA,Confidence_Score,LSA,DSA,Prediction_Entropy,DSA
2-UPS,imdb300AuxDS,50,Similarity_Score,Confidence_Score,Confidence_Score,Similarity_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Confidence_Score,Similarity_Score
2-UPS,imdbAuxDS,50,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
2-UPS,SSTtestAuxDS,50,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
DeepEST,imdbAuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
DeepEST,SSTtestAuxDS,100,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
GBS,imdb300AuxDS,100,DSA,Prediction_Entropy,DSA,Prediction_Entropy,LSA,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
GBS,imdbAuxDS,100,Similarity_Score,Prediction_Entropy,Confidence_Score,LSA,Similarity_Score,Confidence_Score,Similarity_Score,Prediction_Entropy,Similarity_Score,Confidence_Score
GBS,SSTtestAuxDS,100,DSA,Prediction_Entropy,DSA,Confidence_Score,LSA,DSA,DSA,Prediction_Entropy,DSA,Confidence_Score
RHC-S,imdb300AuxDS,100,DSA,Confidence_Score,DSA,Prediction_Entropy,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
RHC-S,imdbAuxDS,100,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
RHC-S,SSTtestAuxDS,100,DSA,Confidence_Score,DSA,Prediction_Entropy,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score
SSRS,imdb300AuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,imdbAuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,100,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,100,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
SUPS,imdbAuxDS,100,LSA,Confidence_Score,LSA,Confidence_Score,Similarity_Score,DSA,DSA,Confidence_Score,DSA,Prediction_Entropy
SUPS,SSTtestAuxDS,100,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
SRS,imdb300AuxDS,100,LSA,Confidence_Score,LSA,DSA,Prediction_Entropy,Similarity_Score,LSA,Similarity_Score,LSA,Prediction_Entropy
SRS,imdbAuxDS,100,DSA,Prediction_Entropy,DSA,Similarity_Score,Prediction_Entropy,Confidence_Score,Prediction_Entropy,DSA,Prediction_Entropy,DSA
SRS,SSTtestAuxDS,100,DSA,Similarity_Score,Confidence_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score,Confidence_Score,DSA
2-UPS,imdb300AuxDS,100,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score
2-UPS,imdbAuxDS,100,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score
2-UPS,SSTtestAuxDS,100,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,Similarity_Score,DSA
DeepEST,imdbAuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,Similarity_Score,DSA
DeepEST,SSTtestAuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
GBS,imdb300AuxDS,200,Confidence_Score,DSA,Confidence_Score,Prediction_Entropy,LSA,DSA,Confidence_Score,DSA,Confidence_Score,Prediction_Entropy
GBS,imdbAuxDS,200,Confidence_Score,Prediction_Entropy,Confidence_Score,DSA,DSA,LSA,Confidence_Score,Prediction_Entropy,Confidence_Score,DSA
GBS,SSTtestAuxDS,200,Prediction_Entropy,DSA,Prediction_Entropy,DSA,LSA,DSA,DSA,Prediction_Entropy,Prediction_Entropy,DSA
RHC-S,imdb300AuxDS,200,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
RHC-S,imdbAuxDS,200,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
RHC-S,SSTtestAuxDS,200,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
SSRS,imdb300AuxDS,200,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,imdbAuxDS,200,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,200,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,200,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Prediction_Entropy
SUPS,imdbAuxDS,200,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
SUPS,SSTtestAuxDS,200,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SRS,imdb300AuxDS,200,DSA,Prediction_Entropy,DSA,Prediction_Entropy,LSA,Similarity_Score,DSA,Prediction_Entropy,DSA,Similarity_Score
SRS,imdbAuxDS,200,Confidence_Score,DSA,Confidence_Score,Similarity_Score,Similarity_Score,Confidence_Score,Confidence_Score,DSA,Confidence_Score,Similarity_Score
SRS,SSTtestAuxDS,200,Prediction_Entropy,Similarity_Score,Prediction_Entropy,Confidence_Score,DSA,LSA,Prediction_Entropy,Similarity_Score,DSA,Prediction_Entropy
2-UPS,imdb300AuxDS,200,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score
2-UPS,imdbAuxDS,200,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
2-UPS,SSTtestAuxDS,200,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,400,LSA,DSA,LSA,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
DeepEST,imdbAuxDS,400,LSA,DSA,LSA,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
DeepEST,SSTtestAuxDS,400,LSA,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
GBS,imdb300AuxDS,400,Confidence_Score,DSA,Confidence_Score,DSA,LSA,Prediction_Entropy,Confidence_Score,DSA,Confidence_Score,DSA
GBS,imdbAuxDS,400,LSA,Confidence_Score,DSA,LSA,LSA,Similarity_Score,LSA,Confidence_Score,LSA,DSA
GBS,SSTtestAuxDS,400,DSA,Prediction_Entropy,DSA,Confidence_Score,LSA,Prediction_Entropy,DSA,Prediction_Entropy,DSA,Prediction_Entropy
RHC-S,imdb300AuxDS,400,DSA,Prediction_Entropy,DSA,Confidence_Score,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
RHC-S,imdbAuxDS,400,DSA,Confidence_Score,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
RHC-S,SSTtestAuxDS,400,DSA,Confidence_Score,DSA,Confidence_Score,Similarity_Score,LSA,Confidence_Score,DSA,Confidence_Score,DSA
SSRS,imdb300AuxDS,400,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,imdbAuxDS,400,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,400,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,Confidence_Score,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,400,LSA,DSA,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SUPS,imdbAuxDS,400,LSA,Prediction_Entropy,LSA,DSA,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SUPS,SSTtestAuxDS,400,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SRS,imdb300AuxDS,400,Similarity_Score,DSA,DSA,LSA,DSA,LSA,DSA,Similarity_Score,DSA,LSA
SRS,imdbAuxDS,400,DSA,Similarity_Score,DSA,Confidence_Score,LSA,DSA,DSA,Similarity_Score,DSA,Prediction_Entropy
SRS,SSTtestAuxDS,400,Similarity_Score,DSA,Similarity_Score,Confidence_Score,DSA,Similarity_Score,DSA,Similarity_Score,Similarity_Score,Confidence_Score
2-UPS,imdb300AuxDS,400,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
2-UPS,imdbAuxDS,400,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Confidence_Score,Similarity_Score,Confidence_Score,Similarity_Score
2-UPS,SSTtestAuxDS,400,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score
DeepEST,imdb300AuxDS,800,LSA,DSA,LSA,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
DeepEST,imdbAuxDS,800,LSA,DSA,LSA,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
DeepEST,SSTtestAuxDS,800,LSA,DSA,LSA,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
GBS,imdb300AuxDS,800,Prediction_Entropy,DSA,Prediction_Entropy,Confidence_Score,LSA,Prediction_Entropy,Prediction_Entropy,DSA,Prediction_Entropy,DSA
GBS,imdbAuxDS,800,Confidence_Score,Prediction_Entropy,Prediction_Entropy,Confidence_Score,Similarity_Score,LSA,Confidence_Score,LSA,Similarity_Score,LSA
GBS,SSTtestAuxDS,800,DSA,Prediction_Entropy,DSA,Prediction_Entropy,LSA,DSA,DSA,Prediction_Entropy,DSA,Prediction_Entropy
RHC-S,imdb300AuxDS,800,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,Similarity_Score,Confidence_Score,LSA
RHC-S,imdbAuxDS,800,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,LSA,Confidence_Score,LSA
RHC-S,SSTtestAuxDS,800,DSA,Prediction_Entropy,DSA,Prediction_Entropy,Similarity_Score,LSA,Confidence_Score,LSA,Confidence_Score,LSA
SSRS,imdb300AuxDS,800,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,Confidence_Score,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,imdbAuxDS,800,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,DSA
SSRS,SSTtestAuxDS,800,Similarity_Score,DSA,Similarity_Score,DSA,Similarity_Score,Confidence_Score,Similarity_Score,DSA,Similarity_Score,DSA
SUPS,imdb300AuxDS,800,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SUPS,imdbAuxDS,800,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SUPS,SSTtestAuxDS,800,LSA,Prediction_Entropy,LSA,Prediction_Entropy,Similarity_Score,DSA,DSA,Similarity_Score,DSA,Similarity_Score
SRS,imdb300AuxDS,800,Prediction_Entropy,DSA,Prediction_Entropy,DSA,Similarity_Score,LSA,Prediction_Entropy,DSA,Prediction_Entropy,DSA
SRS,imdbAuxDS,800,DSA,LSA,DSA,LSA,Confidence_Score,Prediction_Entropy,Prediction_Entropy,DSA,Prediction_Entropy,DSA
SRS,SSTtestAuxDS,800,Confidence_Score,Similarity_Score,LSA,DSA,Confidence_Score,DSA,Confidence_Score,DSA,DSA,Confidence_Score
2-UPS,imdb300AuxDS,800,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Prediction_Entropy,Similarity_Score,Prediction_Entropy
2-UPS,imdbAuxDS,800,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Prediction_Entropy,Similarity_Score,Confidence_Score
2-UPS,SSTtestAuxDS,800,Similarity_Score,Confidence_Score,Similarity_Score,Confidence_Score,LSA,Prediction_Entropy,Similarity_Score,Prediction_Entropy,Similarity_Score,Prediction_Entropy
