method,dataset,aux_var,RMSE,RMedSE,Mean Failures,STD Failures
DeepEST,imdbAuxDS,LSA,0.0067808118312293305,0.0034076937131001165,254.46,224.88349347514125
DeepEST,imdb300AuxDS,Confidence_Score,0.04916600817260834,0.02325829805700738,67.36666666666666,38.14708670021404
DeepEST,imdb300AuxDS,Similarity_Score,0.05748562825790699,0.0232395897443239,7.04,6.780231826726951
DeepEST,imdb300AuxDS,LSA,0.007841136233620307,0.0027236888966842903,175.44666666666666,106.90060218354047
DeepEST,SSTtestAuxDS,Confidence_Score,0.04155331469392622,0.01582539757410302,42.06,18.766752694896613
DeepEST,SSTtestAuxDS,LSA,0.0038878004345702295,0.0011348022714893723,108.58666666666667,41.915572968417145
DeepEST,SSTtestAuxDS,Similarity_Score,0.0477729434653716,0.026176572907523645,5.553333333333334,5.813126394527063
DeepEST,SSTtestAuxDS,Prediction_Entropy,0.045264114773521186,0.021802727041719528,43.46,19.548470133587397
DeepEST,SSTtestAuxDS,DSA,0.02008312384645546,0.011131380544472037,23.993333333333332,21.835718741900656
DeepEST,imdbAuxDS,Similarity_Score,0.0681662961065474,0.02672434220149312,6.986666666666666,6.470362651441055
DeepEST,imdb300AuxDS,Prediction_Entropy,0.0520946553552953,0.025359620265083125,73.82666666666667,43.246871581260024
DeepEST,imdbAuxDS,Confidence_Score,0.05952406723167625,0.03420181518988115,117.54,104.95109951110852
DeepEST,imdbAuxDS,Prediction_Entropy,0.05665847770235878,0.02500587579235746,116.69333333333333,103.94790555538495
DeepEST,imdb300AuxDS,DSA,0.027819691832162173,0.013435349682079833,31.35333333333333,28.149203778758586
DeepEST,imdbAuxDS,DSA,0.02966824377822179,0.011255344227577074,34.58,31.031542731474087
GBS,imdbAuxDS,LSA,0.02942981056683851,0.012900000000000023,33.45333333333333,29.552271211884218
GBS,imdb300AuxDS,Confidence_Score,0.02686722755824774,0.013154134331076293,32.63333333333333,28.867532833644894
GBS,imdb300AuxDS,LSA,0.0975925522260792,0.09850000000000003,1.1933333333333334,1.4640967926829564
GBS,imdb300AuxDS,Similarity_Score,0.3784143617341534,0.38025205456381167,134.77333333333334,103.05228663528352
GBS,imdbAuxDS,Prediction_Entropy,0.028814247054770203,0.013755816951384645,34.446666666666665,30.56087261717247
GBS,SSTtestAuxDS,LSA,0.07550405948569655,0.07742998352553543,0.5533333333333333,0.7556202542812687
GBS,imdb300AuxDS,Prediction_Entropy,0.026718751218323563,0.01375227253947505,31.086666666666666,27.229557732685876
GBS,imdbAuxDS,Similarity_Score,0.02622340716484671,0.013126928429758423,33.24,29.637333611918613
GBS,SSTtestAuxDS,Prediction_Entropy,0.02295379923126214,0.012429983525535482,23.486666666666668,21.35061625147324
GBS,SSTtestAuxDS,DSA,0.022203285909741546,0.00867998352553545,23.48,21.320727539621902
GBS,imdbAuxDS,Confidence_Score,0.022159309556030855,0.010400000000000076,33.85333333333333,29.973005005884442
GBS,SSTtestAuxDS,Similarity_Score,0.3551993635384222,0.3625700164744645,91.24666666666667,47.41434334942608
GBS,imdb300AuxDS,DSA,0.02329516223024286,0.011500000000000066,31.373333333333335,27.865098486216272
GBS,SSTtestAuxDS,Confidence_Score,0.02739990384467964,0.01257001647446454,26.266666666666666,22.588132141603303
GBS,imdbAuxDS,DSA,0.030172683562012404,0.014599999999999946,34.5,31.638212814049943
RHC-S,imdbAuxDS,LSA,0.10853825912929525,0.11040000000000005,0.58,0.8534965587739215
RHC-S,imdb300AuxDS,Confidence_Score,0.032431697927303216,0.017733548443286597,27.293333333333333,25.137887303352734
RHC-S,imdb300AuxDS,LSA,0.09845131478275469,0.10099999999999998,0.8066666666666666,1.05992697397349
RHC-S,imdb300AuxDS,Similarity_Score,0.10099999999999999,0.10099999999999998,0.0,0.0
RHC-S,imdbAuxDS,Prediction_Entropy,0.03305834535797304,0.017075168388660217,109.01333333333334,95.75612105948079
RHC-S,SSTtestAuxDS,LSA,0.07531463596422254,0.07742998352553543,1.0733333333333333,1.9181110208074965
RHC-S,imdb300AuxDS,Prediction_Entropy,0.0368427245706572,0.013863751338814675,75.64,54.83792838229526
RHC-S,imdbAuxDS,Similarity_Score,0.11040000000000007,0.11040000000000005,0.0,0.0
RHC-S,SSTtestAuxDS,Prediction_Entropy,0.027566425231737187,0.011729471241566864,55.653333333333336,32.21404643120818
RHC-S,SSTtestAuxDS,DSA,0.017483481352466294,0.008320330611347668,40.86,31.48005227561047
RHC-S,imdbAuxDS,Confidence_Score,0.036532541688579036,0.017573241664480876,28.69333333333333,25.708992672809245
RHC-S,SSTtestAuxDS,Similarity_Score,0.07742998352553541,0.07742998352553543,0.0,0.0
RHC-S,imdb300AuxDS,DSA,0.020049164034880437,0.009152120688860097,49.806666666666665,41.767283793966385
RHC-S,SSTtestAuxDS,Confidence_Score,0.025837913887757046,0.013800738172501749,20.626666666666665,19.275309054588153
RHC-S,imdbAuxDS,DSA,0.025397386593372137,0.010383170513387713,58.08,52.17105577235987
SSRS,imdbAuxDS,LSA,0.4448760637338598,0.43959999999999994,170.7,149.9529568289501
SSRS,imdb300AuxDS,Confidence_Score,0.28702908710611447,0.28248082595870205,81.54,48.03852341135835
SSRS,imdb300AuxDS,LSA,0.6408015984654606,0.664,174.38,109.64008660432569
SSRS,imdb300AuxDS,Similarity_Score,0.026996141699633065,0.01375227253947505,31.88,27.769405210983763
SSRS,imdbAuxDS,Prediction_Entropy,0.2550777961394,0.25022578054628974,112.33333333333333,99.5670942831119
SSRS,SSTtestAuxDS,LSA,0.6671387940431907,0.6625700164744646,107.68,42.76144534570472
SSRS,imdb300AuxDS,Prediction_Entropy,0.24562320677133567,0.244,85.5,57.814183949717844
SSRS,imdbAuxDS,Similarity_Score,0.0322514469959618,0.01540000000000008,35.233333333333334,32.285516661960884
SSRS,SSTtestAuxDS,Prediction_Entropy,0.26236843136179167,0.25877691302618866,56.78666666666667,25.92596238767367
SSRS,SSTtestAuxDS,DSA,0.12420009798397247,0.11757001647446452,51.053333333333335,35.723544520520626
SSRS,imdbAuxDS,Confidence_Score,0.2894881956430463,0.28459999999999996,121.42,106.6003179415282
SSRS,SSTtestAuxDS,Similarity_Score,0.023164207959601342,0.01257001647446454,24.206666666666667,21.517371370441897
SSRS,imdb300AuxDS,DSA,0.10291719972871398,0.08837721001479962,58.63333333333333,50.49332691197739
SSRS,SSTtestAuxDS,Confidence_Score,0.2829015288646594,0.28257001647446456,54.22,22.872529756230815
SSRS,imdbAuxDS,DSA,0.10292097696776877,0.0945999999999999,63.126666666666665,55.914279631116294
SUPS,imdbAuxDS,LSA,0.0045194347851889565,0.0018395449162304988,269.96666666666664,237.7495274603217
SUPS,imdb300AuxDS,Confidence_Score,0.048716580223256194,0.023203033815725072,114.96,102.10455754343653
SUPS,imdb300AuxDS,Similarity_Score,0.10099999999999999,0.10099999999999998,0.0,0.0
SUPS,imdb300AuxDS,LSA,0.004526471706324526,0.0025170709012949668,265.88666666666666,234.41624015100243
SUPS,SSTtestAuxDS,Confidence_Score,0.04846534009856568,0.024428463475590228,134.76666666666668,120.38018168775432
SUPS,SSTtestAuxDS,LSA,0.002888067290154247,0.0016030984456592012,269.8333333333333,239.2158727609032
SUPS,SSTtestAuxDS,Similarity_Score,0.07742998352553541,0.07742998352553543,0.0,0.0
SUPS,SSTtestAuxDS,Prediction_Entropy,0.025318377418753972,0.014293307946597616,110.97333333333333,98.47112796401589
SUPS,SSTtestAuxDS,DSA,0.07065136546471117,0.020947079061893234,13.866666666666667,12.388924836844213
SUPS,imdbAuxDS,Similarity_Score,0.11040000000000007,0.11040000000000005,0.0,0.0
SUPS,imdb300AuxDS,Prediction_Entropy,0.03461108419357907,0.020479115176955765,102.58,90.46481536371999
SUPS,imdbAuxDS,Confidence_Score,0.050287782881490974,0.022405697151966907,123.70666666666666,109.69650301650101
SUPS,imdbAuxDS,Prediction_Entropy,0.031696585912509304,0.019044958360542503,109.28666666666666,97.28794435247924
SUPS,imdb300AuxDS,DSA,0.039418125768330585,0.020312753577698447,19.072847682119207,17.766297433717337
SUPS,imdbAuxDS,DSA,0.03858298530830314,0.019409880657465548,21.36,19.928152828794374
SRS,imdbAuxDS,LSA,0.033782330193953956,0.01540000000000008,34.62,31.041792569148452
SRS,imdb300AuxDS,Confidence_Score,0.026300586178511946,0.016251922963145052,31.686666666666667,28.502710731010485
SRS,imdb300AuxDS,LSA,0.026214142175550972,0.012890160976496734,31.04,27.90753668862313
SRS,imdb300AuxDS,Similarity_Score,0.027644582049050164,0.014000000000000012,31.013333333333332,28.00574885055013
SRS,imdbAuxDS,Prediction_Entropy,0.027855078830738695,0.014599999999999946,33.626666666666665,29.91454196589148
SRS,SSTtestAuxDS,LSA,0.02350906711756821,0.01380053843589208,24.386666666666667,22.030420294323
SRS,imdb300AuxDS,Prediction_Entropy,0.026980509940819627,0.01100000000000001,31.813333333333333,28.250411095581445
SRS,imdbAuxDS,Similarity_Score,0.0295778210826964,0.014599999999999946,34.74,31.193578327262486
SRS,SSTtestAuxDS,Prediction_Entropy,0.022989726409283172,0.012500196090729807,24.746666666666666,22.267195803435726
SRS,SSTtestAuxDS,DSA,0.02239119601002132,0.012429983525535482,23.293333333333333,21.02524742025106
SRS,imdbAuxDS,Confidence_Score,0.026664981717601087,0.013349999999999973,34.093333333333334,29.91606752561019
SRS,SSTtestAuxDS,Similarity_Score,0.024374652262130363,0.01257001647446454,23.866666666666667,21.02496651607886
SRS,imdb300AuxDS,DSA,0.026614454092967355,0.01100000000000001,30.953333333333333,27.825037411207973
SRS,SSTtestAuxDS,Confidence_Score,0.023929485832385904,0.01257001647446454,23.993333333333332,20.756335384960792
SRS,imdbAuxDS,DSA,0.02852655195894988,0.010400000000000076,34.18666666666667,30.373820117757028
2-UPS,imdbAuxDS,LSA,0.11040000000000007,0.11040000000000005,0.0,0.0
2-UPS,imdb300AuxDS,Confidence_Score,0.02813311672442741,0.017838982104100443,32.18,29.823658461477287
2-UPS,imdb300AuxDS,LSA,0.09923019987437856,0.09940501741783091,0.31333333333333335,0.5808656657956501
2-UPS,imdb300AuxDS,Similarity_Score,0.026925707975836027,0.01100000000000001,31.12,28.12195874682966
2-UPS,imdbAuxDS,Prediction_Entropy,0.06358708381904916,0.06141020023213873,15.38,14.36750154588963
2-UPS,SSTtestAuxDS,LSA,0.07284353785661908,0.0736799835255354,1.7,2.097457713294931
2-UPS,imdb300AuxDS,Prediction_Entropy,0.05570496170732256,0.052845349929201355,14.52,13.1367203981356
2-UPS,imdbAuxDS,Similarity_Score,0.025047671215770406,0.014599999999999946,34.53333333333333,30.61882271170071
2-UPS,SSTtestAuxDS,Prediction_Entropy,0.060564201691689266,0.058679983525535384,5.8933333333333335,6.191731514680536
2-UPS,SSTtestAuxDS,DSA,0.06523763990506082,0.04675627666926755,37.85333333333333,34.54797008706106
2-UPS,imdbAuxDS,Confidence_Score,0.028804428890855212,0.015395044288192569,34.46666666666667,31.643497941420453
2-UPS,SSTtestAuxDS,Similarity_Score,0.02486228601402563,0.01257001647446454,23.946666666666665,21.695818626207622
2-UPS,imdb300AuxDS,DSA,0.04278650247917909,0.029765093173246552,38.07333333333333,35.706878375334945
2-UPS,SSTtestAuxDS,Confidence_Score,0.028389733048130205,0.013942522773037118,26.173333333333332,23.922342668459617
2-UPS,imdbAuxDS,DSA,0.048546673515957456,0.02979283627306145,42.446666666666665,38.59087360668412
